年份,期刊,题目,作者,一作,中文/英文
2015,Nature communications,Structural isomerism in gold nanoparticles revealed by X-ray crystallography,"S Tian, YZ Li, MB Li, J Yuan, J Yang, Z Wu, R Jin",S Tian,英
2012,Journal of the American Chemical Society,Direct substitution of primary allylic amines with sulfinate salts,"XS Wu, Y Chen, MB Li, MG Zhou, SK Tian",XS Wu,英
2015,Nano Letters,Adding Two Active Silver Atoms on Au25 Nanoparticle,"C Yao, J Chen, MB Li, L Liu, J Yang, Z Wu",C Yao,英
2012,ChemInform,Regioselective and Stereospecific Cross‐Coupling of Primary Allylic Amines with Boronic Acids and Boronates through Palladium‐Catalyzed C N Bond Cleavage,"MB Li, Y Wang, SK Tian",MB Li,英
2017,Nature Communications,The fourth crystallographic closest packing unveiled in the gold nanocluster crystal,"Z Gan, J Chen, J Wang, C Wang, MB Li, C Yao, S Zhuang, A Xu, L Li, ...",Z Gan,英
2016,Journal of the American Chemical Society,"Structure of Chiral Au44(2,4-DMBT)26 Nanocluster with an 18-Electron Shell Closure","L Liao, S Zhuang, C Yao, N Yan, J Chen, C Wang, N Xia, X Liu, MB Li, ...",L Liao,英
2009,Organic Letters,Catalyst-Free Alkylation of Sulfinic Acids with Sulfonamides via sp3 C−N Bond Cleavage at Room Temperature,"CR Liu, MB Li, DJ Cheng, CF Yang, SK Tian",CR Liu,英
2020,Chemical Society Reviews,Palladium-catalyzed oxidative dehydrogenative carbonylation reactions using carbon monoxide and mechanistic overviews,"C Zhu, J Liu, MB Li, JE Bäckvall",C Zhu,英
2009,Chemistry–A European Journal,Selective Benzylic and Allylic Alkylation of Protic Nucleophiles with Sulfonamides through Double Lewis Acid Catalyzed Cleavage of sp3 Carbon–Nitrogen Bonds,"CR Liu, MB Li, CF Yang, SK Tian",CR Liu,英
2015,Chemical Communications,Cu 2+ induced formation of Au 44 (SC 2 H 4 Ph) 32 and its high catalytic activity for the reduction of 4-nitrophenol at low temperature,"MB Li, SK Tian, Z Wu, R Jin",MB Li,英
2017,Nanoscale,The fcc structure isomerization in gold nanoclusters,"S Zhuang, L Liao, MB Li, C Yao, Y Zhao, H Dong, J Li, H Deng, L Li, Z Wu",S Zhuang,英
2016,Chemistry of Materials,Peeling the Core–Shell Au25 Nanocluster by Reverse Ligand-Exchange,"MB Li, SK Tian, Z Wu, R Jin",MB Li,英
2018,Journal of the American Chemical Society,Chemodivergent and diastereoselective synthesis of γ-lactones and γ-lactams: a heterogeneous palladium-catalyzed oxidative tandem process,"MB Li, AK Inge, D Posevins, KPJ Gustafson, Y Qiu, JE Backvall",MB Li,英
2011,Advanced Synthesis & Catalysis,Cross‐Coupling of Grignard Reagents with Sulfonyl‐Activated sp3 Carbon‐Nitrogen Bonds,"MB Li, XL Tang, SK Tian",MB Li,英
2017,Chinese Journal of Chemistry,Improving the Catalytic Activity of Au25 Nanocluster by Peeling and Doping,"M Li, S Tian, Z Wu",M Li,英
2021,Accounts of Chemical Research,Efficient heterogeneous palladium catalysts in oxidative cascade reactions,"MB Li, JE Backvall",MB Li,英
2016,Analytical Chemistry,Quantitatively Monitoring the Size-Focusing of Au Nanoclusters and Revealing What Promotes the Size Transformation from Au44(TBBT)28 to Au36(TBBT)24,"L Liao, C Yao, C Wang, S Tian, J Chen, MB Li, N Xia, N Yan, Z Wu",L Liao,英
2008,Chemical Communications,"Catalytic selective bis-arylation of imines with anisole, phenol, thioanisole and analogues","CR Liu, MB Li, CF Yang, SK Tian",CR Liu,英
2013,Chemical Communications,Catalytic stereospecific alkylation of malononitriles with enantioenriched primary allylic amines,"MB Li, H Li, J Wang, CR Liu, SK Tian",MB Li,英
2018,Acta Phys.-Chim. Sin,PPh3: Converts thiolated gold nanoparticles to [Au25 (PPh3) 10 (SR) 5Cl2] 2+,"M Zhu, M Li, C Yao, N Xia, Y Zhao, N Yan, L Liao, Z Wu",M Zhu,英
2019,ACS Catalysis,Palladium-catalyzed stereospecific oxidative cascade reaction of allenes for the construction of pyrrole rings: control of reactivity and selectivity,"MB Li, ES Grape, JE Backvall",MB Li,英
2019,Chemistry–A European Journal,Diastereoselective Cyclobutenol Synthesis: A Heterogeneous Palladium‐Catalyzed Oxidative Carbocyclization‐Borylation of Enallenols,"MB Li, D Posevins, KPJ Gustafson, CW Tai, A Shchukarev, Y Qiu, ...",MB Li,英
2014,Nanoscale,"Catalyzed formation of α, β-unsaturated ketones or aldehydes from propargylic acetates by a recoverable and recyclable nanocluster catalyst","MB Li, SK Tian, Z Wu",MB Li,英
